OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE_CODE,PROVINCE_NAME,HLCIT_DISTRICT_CODE,CBS_DISTRICT_CODE,DISTRICT_PCODE,CBS_LU_CODE,HLCIT_LU_CODE,LU_PCODE
176,Aaurahi Gaunpalika,Dhanusha,Aaurahi,Gaunpalika,2,2,524217,203,NP0217,20314,524 2 17 4 003,NP0217403
177,Bateshwor Gaunpalika,Dhanusha,Bateshwor,Gaunpalika,2,2,524217,203,NP0217,20304,524 2 17 4 001,NP0217401
178,Bideha Nagarpalika,Dhanusha,Bideha,Nagarpalika,2,2,524217,203,NP0217,20313,524 2 17 3 010,NP0217310
179,Chhireshwornath Nagarpalika,Dhanusha,Chhireshwornath,Nagarpalika,2,2,524217,203,NP0217,20305,524 2 17 3 003,NP0217303
180,Dhanauji Gaunpalika,Dhanusha,Dhanauji,Gaunpalika,2,2,524217,203,NP0217,20316,524 2 17 4 004,NP0217404
181,Dhanusadham Nagarpalika,Dhanusha,Dhanusadham,Nagarpalika,2,2,524217,203,NP0217,20302,524 2 17 3 004,NP0217304
182,Ganeshman Charnath Nagarpalika,Dhanusha,Ganeshman Charnath,Nagarpalika,2,2,524217,203,NP0217,20301,524 2 17 3 002,NP0217302
183,Hansapur Nagarpalika,Dhanusha,Hansapur,Nagarpalika,2,2,524217,203,NP0217,20308,524 2 17 3 007,NP0217307
184,Janaknandani Gaunpalika,Dhanusha,Janaknandani,Gaunpalika,2,2,524217,203,NP0217,20312,524 2 17 4 006,NP0217406
185,Janakpur Upamahanagarpalika,Dhanusha,Janakpur,Upamahanagarpalika,2,2,524217,203,NP0217,20315,524 2 17 2 001,NP0217201
186,Kamala Nagarpalika,Dhanusha,Kamala,Nagarpalika,2,2,524217,203,NP0217,20311,524 2 17 3 011,NP0217311
